,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
89,1668481200,16873.45,16740.72,16740.72,3708.4,62419023.43,16807.76,direct,
90,1668484800,16848.1,16742.61,16807.76,2091.55,35129826.0,16751.23,direct,
91,1668488400,16778.2,16623.82,16751.23,1433.01,23946550.57,16640.38,direct,
92,1668492000,16736.18,16637.43,16640.38,1106.4,18458574.17,16732.15,direct,
93,1668495600,16915.54,16726.84,16732.15,2422.14,40749981.89,16829.88,direct,
94,1668499200,16967.81,16792.56,16829.88,2116.31,35760860.41,16903.91,direct,
95,1668502800,16934.22,16722.66,16903.91,2382.22,40093768.65,16783.41,direct,
96,1668506400,16865.75,16740.9,16783.41,1711.6,28748065.0,16862.77,direct,
97,1668510000,16940.5,16695.73,16862.77,2989.7,50207727.06,16764.41,direct,
98,1668513600,16861.04,16713.46,16764.41,2589.98,43532634.76,16820.09,direct,
99,1668517200,17091.76,16809.49,16820.09,5001.7,84807820.54,16996.36,direct,
100,1668520800,16997.42,16803.19,16996.36,4586.25,77590929.74,16851.9,direct,
